text,rt_count, fav_count
and a balance art family perception friends family politics and the fucking manipulators,6894,19591
No matter what level you're at in life there is still a struggle,126950,116377
but if the self proclaimed cockiest person in the world can lay his personal business on the line then please people see my heart.,12993,32295
This is a God dream,26894,36549
I know I confuse you guys sometimes but please bare with me.,32201,47837
I am ultra light beaming right now. So many people have called or emailed to help today hedge fund guys billionaires etc...,8310,25703
I am of service to the world with my art and I just want to serve more.,11728,23806
and I think the idea of being a celebrity a lot of times blocks the understanding of what my purpose is.,8339,25042
There are people who support artist and philanthropist,5043,15881
I could not have done the MSG without Adidas but world, what I'm telling you is that was just a small sketch for what I will bring you.,6170,20034
Also for anyone that has money they know the first rule is to use other people's money.,26643,37225
If I spent my money on my ideas I could not afford to take care of my family. I am in a place that so many artist end up.,8396,21225
but I need access to more money in order to bring more beautiful ideas to the world.,15511,27583
Yes I am personally rich and I can buy furs and houses for my family,17865,30923
I want to help the world and I need help to do it. I am an artist and I care about humanity.,12150,26709
I just feel rich people are always too cool to ask for help trying to impress each other at dinner parties.,12683,30397
...on another note, can brah be the girl verson of bruh???,68887,86863
and yes there are misspellings on this chart… that’s how you know it’s me...,6348,22104
All you guys had meetings with me and no one lifted a finger to help….,5469,17944
I promise I’m going to make the world dope…. all I do is make shit dope #facts…,31398,46694
if you want to help… help me…,17789,27974
you’d rather open up one school in Africa like you really helped the country…,10877,22457
All you dudes in San Fran play rap music in your homes    but never help the real artists…,7724,20833
hey Larry Page I’m down for your help too …,5369,15959
Here is my Donda chart that I wrote 4 years ago that everyone laughed at… https://t.co/g1po6Z3H55,11538,34966
I know I can make the world a better place… I have done the impossible … I retook the throne of rap… I beat the fashion game…,14301,30609
and I will always respect you for that and the world will love you…,8794,20724
one of the coolest things you could ever do is to help me in my time of need,18876,29224
Mark, I am publicly asking you for help…,13939,27974
I don’t have enough resources to create what I really can…,10001,22172
I’m this generation's Disney… I want to bring dope shit to the world…,25556,40004
World, please tweet, FaceTime, Facebook, instagram, whatever you gotta do to get Mark to support me…,11116,24391
You love hip hop, you love my art… I am your favorite artist but you watch me barely breathe and still play my album in your house …,11357,28257
Mark Zuckerberg  I know it’s your bday but can you please call me by 2mrw…,27305,49296
I put Lowlights on my album just thinking about all the moms driving they kids to school then going to work…,11310,32636
Bars are worth more than money because it's something the people can use everyday to feel inspired.,19616,35175
I know y'all tired of music controlled by money and perception.  I'm proud of every dime of debt I got.,13763,34347
All y'all so worried about being likable but only a few are concerned about being great!!!,103525,101749
I am the Jordan and Steph Curry of music, meaning I'm the best of 2 generations.,58660,81121
I made Dark Fantasy and Watch the Throne in one year and wasn't nominated for either ... I will have over 100 Grammys before I die.,23526,43610
I made Dark Fantasy and Watch the Throne in one year and wasn't nominated for either ...,13183,30484
I'm practicing my Grammy Speech. I'm not going to the Grammys unless they promise me the Album of the Year!!!,31435,51763
Tidal is also funding a lot of my scripted content ideas.  It's a new day people.  More Ultra Light Dreams to be realized.,5585,19544
Man thank you so so so much everyone for signing up to Tidal. Tidal is now the number one app in the world!!! https://t.co/O3r9DkX03R,7056,25087
Please for all music lovers. Please subscribe to tidal!!! I decided not to sell my album for another week. Please subscribe to tidal.,15837,39128
Ima fix wolves,21210,44307
after realizing he is the greatest living artist and greatest artist of all time.,21879,41566
Mark Zuckerberg invest 1 billion dollars into Kanye West ideas,38093,63299
They are calling me to the SNL stage now ... Speak soon...,11019,40642
This is all all is fun all in good feelings... We will all be gone 100 years from now but what did we do to help while we were here!!!,18049,36931
I write this to you my brothers while still 53 million dollars in personal debt... Please pray we overcome... This is my true heart...,16322,35835
Let's dance in the streets. I am consumed by my purpose to help the world.,24272,40035
All memes are wrong... The Life of Paul... The life of Pablo... Ultralight beams... Moms dads daughters sons stand up...,11857,26759
Please forgive the profanity and give hugs and blessings to my brother Kirk for standing by me... In a few hours the journey begins...,9395,23292
He was saved from persecution due to his Roman citizenship... I have the right to speak my voice...,5405,16331
He was a learned man not of the original sect so he was able to take the message to the rest of the world...,5691,17042
Paul ... The most powerful messenger of the first century... Now we stand here 20 centuries later... Because he was a traveler...,8007,21602
.... awwwwww... https://t.co/TLXZhIEvmQ,53992,98159
Bosses https://t.co/aMzmmTcPQb,8779,34714
Thank you my brother Ricardo https://t.co/qXHHrMDWQk,4641,26253
HAD TO ALL CAPS THIS!!!!!! NO MORE RULES…. MAKE YOUR OWN RULES…   ok now back to finishing Pablo,26377,54419
I’M SO HYPE RIGHT NOW    EVERYTHING HAS CHANGED  … HAVE YA’LL EVER SEEN TRON? THE END OF THE TRON WHERE EVERYTHING LIGHT UP!!!!,29625,55115
HAAAAAAAAAAAAAA FUCK ALL THE HATERS   PUT YOUR MIUTHERFUCKING FIST IN THE SKY RIGHT NOW!!!!!!!!!!!!,45906,66463
and was there in full support to see me realize this dream…,5305,20112
and I’m proud of this picture with me and Caitlyn… She gave the most heart felt speech at my wedding https://t.co/vt76mwqfnH,9779,38308
I’ve given everything I had for this moment… a lot of people feel it’s the paradigm shift …,6627,21290
fashion ain’t no joke for me… It’s a way of life… creative expression and industry…,20656,39404
so many people didn’t make it and gave everything they had for me to stand on their shoulders and break through fashion…,5970,20315
Your site is entertaining and hilarious but certain things are just too far… you have no idea what I’ve had to go through …,5646,19197
I’m a human being… I’m an artist, bro…,22631,37793
you probably got bootleg Yeezy’s on right now…,41108,51780
but Media Takeout couldn’t say one thing positive knowing damn well you’d love to be on the YEEZY 350 list…,7445,21694
people were crying… people were throwing up the fist… people were dancing…,7491,21606
I had an album listening and clothing presentation and Madison Square Garden…,7063,21052
respect the struggle… respect the hustle… respect the dreams…  respect the movement…,55098,56811
You seem like the type of organization hired to always keep dreamers down… when certain things in history happen you just got to respect it…,7432,19537
Now - Media Takeout - always remember that you dissed the collection that changed the world.,6019,17674
It’s Chance's fault the album not out yet… he really wanted Waves on that Bitch…  we in the lab now...,55512,89662
